11,53838,53714,124
21,40309,40103,205
-1,-27336,-27399,63
2,-27082,-27184,103
0,7732,7619,112
-19,13438,13484,-46
-10,-15781,-15636,-145
-6,15537,15674,-137
15,30834,30833,1
22,4936,4919,18
14,-9512,-9668,156
17,-20189,-20458,269
1,3638,3310,327
9,18013,17770,242
5,19654,19538,116
14,28825,28690,135
-8,-11311,-11297,-14
-12,-16431,-16454,23
1,7865,7824,41
-8,31250,31222,28
-8,-17159,-17011,-148
14,-32,17,-49
11,27286,27229,57
14,-7432,-7518,86
17,-11475,-11689,214
-3,2424,2197,227
-7,-14991,-15112,121
2,17189,17030,159
-15,21377,21409,-33
7,-874,-826,-48
-4,2720,2829,-109
-24,-20344,-20117,-227
-24,-50213,-49831,-383
2,33384,33497,-113
8,38098,38318,-220
-7,-31681,-31426,-255
-24,-69629,-69418,-211
-15,-12391,-12297,-94
-16,22250,22379,-129
0,11768,11916,-148
22,6811,6959,-147
24,11633,11622,11
-8,-48542,-48481,-61
-13,-49951,-49996,45
-18,11654,11621,33
-15,35650,35699,-49
-10,75,313,-238
15,14674,14759,-85
10,2689,2755,-66
2,-30338,-30298,-39
-13,-42560,-42441,-119
-2,10166,10128,38
-11,17778,17858,-79
-16,-6780,-6562,-218
-1,-12320,-12070,-250
-13,6469,6645,-176
-28,-35843,-35532,-311
-16,-31862,-31663,-199
-5,25203,25214,-11
-9,120,191,-71
-14,-44561,-44400,-161
-11,-26064,-26015,-49
16,22619,22623,-3
14,22161,22182,-21
15,-15362,-15376,14
-8,-42847,-42772,-74
-26,-23582,-23632,50
3,18509,18497,12
20,72239,72176,63
6,7676,7656,20
11,-50206,-50182,-24
13,3212,3015,197
-9,10435,10241,194
-1,-13179,-13257,79
22,40415,40264,152
28,54799,54559,239
23,-8827,-8998,171
12,-23466,-23711,245
-20,-18527,-18785,259
-20,-4743,-4875,132
-24,25017,25034,-17
10,50576,50466,111
35,37110,37128,-17
25,2745,2655,89
-12,-81178,-81145,-33
-24,-52784,-52962,179
-23,27561,27605,-44
1,63531,63526,5
16,31183,31283,-100
-1,-23536,-23409,-127
0,-52206,-52118,-88
10,4661,4520,141
-4,23584,23470,115
-28,-38345,-38078,-268
-41,-43927,-43468,-459
-19,17984,18119,-134
21,63856,64324,-468
35,33947,34141,-194
16,-51310,-51067,-243
15,-58177,-58170,-7
20,21055,20912,143
19,52568,52464,104
18,17836,17782,54
