18,-37728,-33266,-4462
37,-52787,-57039,4252
41,-85435,-87241,1806
21,-76492,-73457,-3035
-21,8226,9051,-826
-40,81252,78246,3005
-8,47070,47365,-295
33,-30184,-31111,927
40,-71163,-74623,3460
12,-58661,-58160,-500
-20,760,2473,-1713
-16,35256,34252,1004
-22,48036,51158,-3122
-23,84008,76906,7102
-6,21812,24181,-2369
-7,9957,14146,-4189
-15,38892,36124,2768
-20,29091,32023,-2932
12,-945,-2243,1298
21,-52533,-47131,-5402
25,-36632,-43098,6467
7,-55882,-50482,-5400
0,-2018,-5156,3137
-13,8578,11787,-3209
-27,64941,62107,2835
3,25989,23095,2894
19,-40603,-35170,-5433
28,-34691,-40939,6249
12,-60090,-56072,-4019
10,-24258,-27287,3030
-1,-22422,-18391,-4031
-12,34512,30734,3779
-8,22129,21656,474
2,4551,5356,-805
-4,10217,10197,19
16,-13946,-17398,3452
-2,-32505,-25642,-6863
11,10634,2254,8379
17,-64860,-57521,-7339
25,-30038,-34973,4935
31,-76360,-75252,-1108
25,-65525,-65668,143
1,-22056,-22742,687
0,2320,-247,2568
20,-35867,-33471,-2395
32,-50305,-51585,1280
-3,-18146,-17780,-365
-13,29668,24860,4808
3,-16978,-11830,-5148
30,-28838,-31357,2519
14,-40767,-39603,-1164
-1,-2311,-6106,3796
-8,-10867,-6746,-4121
-17,39812,39068,744
-1,30098,26705,3393
-5,1560,5023,-3464
6,15067,10149,4918
19,-52547,-48567,-3979
23,-44902,-45607,705
14,-43820,-43269,-551
15,-35941,-36979,1039
1,-23851,-21079,-2772
-2,17150,13203,3947
-15,14897,17625,-2728
-22,61656,58532,3124
-19,43139,44039,-900
-2,24774,24063,711
15,-19391,-19043,-347
6,-23930,-22869,-1061
8,-17021,-19173,2152
23,-59710,-57066,-2643
1,-21038,-19229,-1809
-17,40743,36373,4370
2,-3216,-1986,-1230
9,-16723,-14476,-2247
5,7436,3497,3938
-18,10016,12498,-2482
-2,21306,18531,2775
9,-28322,-24074,-4247
-2,16566,13952,2614
-21,29843,30076,-233
-6,19571,19149,422
26,-39251,-38234,-1017
14,-33663,-32876,-788
-5,7060,3987,3073
-24,13469,18015,-4546
-15,51124,48469,2654
-10,28012,29513,-1501
-12,43056,40991,2066
-1,7674,7797,-123
-8,941,4283,-3343
-21,47353,45945,1409
-7,20773,20607,166
8,-14130,-11878,-2252
-4,10610,10107,504
-18,29807,29396,411
